employee_id,first_name,last_name,email,phone_number,job_id,salary,commission_pct,manager_id,department_id,password
100,Steven,K_ing,SKING,515.123.4567,AD_PRES,24000,NULL,NULL,90,3iLsSzhdRPZ4tKWP
101,Neena,Kochhar,NKOCHHAR,515.123.4568,AD_VP,17000,NULL,100,90,T0AmYBOAKJKs5hOb
102,Lex,De Haan,LDEHAAN,515.123.4569,AD_VP,17000,NULL,100,90,valmFlUUeLYdDD3g
103,Alexander,Hunold,AHUNOLD,590.423.4567,IT_PROG,9000,NULL,102,60,DLfUaJolhnKY2V4Z
104,Bruce,Ernst,BERNST,590.423.4568,IT_PROG,6000,NULL,103,60,BKSWabFK8USOGv43
105,David,Austin,DAUSTIN,590.423.4569,IT_PROG,4800,NULL,103,60,fcjssVvDbvWPUhhz
106,Valli,Pataballa,VPATABAL,590.423.4560,IT_PROG,4800,NULL,103,60,qh5SsgiDtpje3Di2
107,Diana,Lorentz,DLORENTZ,590.423.5567,IT_PROG,4200,NULL,103,60,QdnB7w5Itvoa7pgQ
108,Nancy,Greenberg,NGREENBE,515.124.4569,FI_MGR,12000,NULL,101,100,mIjTprdJjpCypECa
109,Daniel,Faviet,DFAVIET,515.124.4169,FI_ACCOUNT,9000,NULL,108,100,cqAfOaIvNlJhn8Nf
110,John,Chen,JCHEN,515.124.4269,FI_ACCOUNT,8200,NULL,108,100,3vlBU2vMMvSopYZv
111,Ismael,Sciarra,ISCIARRA,515.124.4369,FI_ACCOUNT,7700,NULL,108,100,WHprfeec08l8fv6o
112,Jose Manuel,Urman,JMURMAN,515.124.4469,FI_ACCOUNT,7800,NULL,108,100,gpi3pPJtIii62fFI
113,Luis,Popp,LPOPP,515.124.4567,FI_ACCOUNT,6900,NULL,108,100,I0oznJxJkoyaUc25
114,Den,Raphaely,DRAPHEAL,515.127.4561,PU_MAN,11000,NULL,100,30,bhh1gDKNjRcaf1jr
115,Alexander,Khoo,AKHOO,515.127.4562,PU_CLERK,3100,NULL,114,30,g6KJjHR1F251oU2b
116,Shelli,Baida,SBAIDA,515.127.4563,PU_CLERK,2900,NULL,114,30,1QTrVdGrqQpwjhEt
117,Sigal,Tobias,STOBIAS,515.127.4564,PU_CLERK,2800,NULL,114,30,Hp5Gz7E5m8hkkYFe
118,Guy,Himuro,GHIMURO,515.127.4565,PU_CLERK,2600,NULL,114,30,PonuiZFsDnXnywq2
119,Karen,Colmenares,KCOLMENA,515.127.4566,PU_CLERK,2500,NULL,114,30,OaDSTQtfNRNI9hgs
120,Matthew,Weiss,MWEISS,650.123.1234,ST_MAN,8000,NULL,100,50,xVDq48eqkjp6zfLu
121,Adam,Fripp,AFRIPP,650.123.2234,ST_MAN,8200,NULL,100,50,xHSDLwtNKt7dr1SH
122,Payam,Kaufling,PKAUFLIN,650.123.3234,ST_MAN,7900,NULL,100,50,KaIZwfsPckMfI5an
123,Shanta,Vollman,SVOLLMAN,650.123.4234,ST_MAN,6500,NULL,100,50,RPgyi3FxYjtyu32M
124,Kevin,Mourgos,KMOURGOS,650.123.5234,ST_MAN,5800,NULL,100,50,SjgGPbyu2Oi6osoi
125,Julia,Nayer,JNAYER,650.124.1214,ST_CLERK,3200,NULL,120,50,lz2ofVgUG27byhYq
126,Irene,Mikkilineni,IMIKKILI,650.124.1224,ST_CLERK,2700,NULL,120,50,fDCadm0YtJ5LeiBL
127,James,Landry,JLANDRY,650.124.1334,ST_CLERK,2400,NULL,120,50,tyK4ioh4as9GIoGC
128,Steven,Markle,SMARKLE,650.124.1434,ST_CLERK,2200,NULL,120,50,I4mboddbynrvXH2m
129,Laura,Bissot,LBISSOT,650.124.5234,ST_CLERK,3300,NULL,121,50,uYC1qE8oYFInKrhS
130,Mozhe,Atkinson,MATKINSO,650.124.6234,ST_CLERK,2800,NULL,121,50,ZMsvuPKhA6YFTQmt
131,James,Marlow,JAMRLOW,650.124.7234,ST_CLERK,2500,NULL,121,50,CFvUdxEdSyZHevc8
132,TJ,Olson,TJOLSON,650.124.8234,ST_CLERK,2100,NULL,121,50,rYdzNqSj9c8JSarT
133,Jason,Mallin,JMALLIN,650.127.1934,ST_CLERK,3300,NULL,122,50,DmUrcOYC82JTT8Gm
134,Michael,Rogers,MROGERS,650.127.1834,ST_CLERK,2900,NULL,122,50,qCToxaHyWyl6FmyS
135,Ki,Gee,KGEE,650.127.1734,ST_CLERK,2400,NULL,122,50,vfUztHOWfDIhVLqF
136,Hazel,Philtanker,HPHILTAN,650.127.1634,ST_CLERK,2200,NULL,122,50,veJ46wJy1x5qbcTH
137,Renske,Ladwig,RLADWIG,650.121.1234,ST_CLERK,3600,NULL,123,50,TuKFKCMig01sFqaP
138,Stephen,Stiles,SSTILES,650.121.2034,ST_CLERK,3200,NULL,123,50,k76tDbIS1j6rtyvF
139,John,Seo,JSEO,650.121.2019,ST_CLERK,2700,NULL,123,50,2GzxURHrkGprd6nF
140,Joshua,Patel,JPATEL,650.121.1834,ST_CLERK,2500,NULL,123,50,VHx2d9xJdJ0dXzef
